command,man_page_url
aio,https://man7.org/linux/man-pages/man0/aio.h.0p.html
arpa_inet,https://man7.org/linux/man-pages/man0/arpa_inet.h.0p.html
assert,https://man7.org/linux/man-pages/man0/assert.h.0p.html
complex,https://man7.org/linux/man-pages/man0/complex.h.0p.html
cpio,https://man7.org/linux/man-pages/man0/cpio.h.0p.html
ctype,https://man7.org/linux/man-pages/man0/ctype.h.0p.html
dirent,https://man7.org/linux/man-pages/man0/dirent.h.0p.html
dlfcn,https://man7.org/linux/man-pages/man0/dlfcn.h.0p.html
errno,https://man7.org/linux/man-pages/man0/errno.h.0p.html
fcntl,https://man7.org/linux/man-pages/man0/fcntl.h.0p.html
fenv,https://man7.org/linux/man-pages/man0/fenv.h.0p.html
float,https://man7.org/linux/man-pages/man0/float.h.0p.html
fmtmsg,https://man7.org/linux/man-pages/man0/fmtmsg.h.0p.html
fnmatch,https://man7.org/linux/man-pages/man0/fnmatch.h.0p.html
ftw,https://man7.org/linux/man-pages/man0/ftw.h.0p.html
glob,https://man7.org/linux/man-pages/man0/glob.h.0p.html
grp,https://man7.org/linux/man-pages/man0/grp.h.0p.html
iconv,https://man7.org/linux/man-pages/man0/iconv.h.0p.html
inttypes,https://man7.org/linux/man-pages/man0/inttypes.h.0p.html
iso646,https://man7.org/linux/man-pages/man0/iso646.h.0p.html
langinfo,https://man7.org/linux/man-pages/man0/langinfo.h.0p.html
libgen,https://man7.org/linux/man-pages/man0/libgen.h.0p.html
limits,https://man7.org/linux/man-pages/man0/limits.h.0p.html
locale,https://man7.org/linux/man-pages/man0/locale.h.0p.html
math,https://man7.org/linux/man-pages/man0/math.h.0p.html
monetary,https://man7.org/linux/man-pages/man0/monetary.h.0p.html
mqueue,https://man7.org/linux/man-pages/man0/mqueue.h.0p.html
ndbm,https://man7.org/linux/man-pages/man0/ndbm.h.0p.html
netdb,https://man7.org/linux/man-pages/man0/netdb.h.0p.html
net_if,https://man7.org/linux/man-pages/man0/net_if.h.0p.html
netinet_in,https://man7.org/linux/man-pages/man0/netinet_in.h.0p.html
netinet_tcp,https://man7.org/linux/man-pages/man0/netinet_tcp.h.0p.html
nl_types,https://man7.org/linux/man-pages/man0/nl_types.h.0p.html
poll,https://man7.org/linux/man-pages/man0/poll.h.0p.html
pthread,https://man7.org/linux/man-pages/man0/pthread.h.0p.html
pwd,https://man7.org/linux/man-pages/man0/pwd.h.0p.html
regex,https://man7.org/linux/man-pages/man0/regex.h.0p.html
sched,https://man7.org/linux/man-pages/man0/sched.h.0p.html
search,https://man7.org/linux/man-pages/man0/search.h.0p.html
semaphore,https://man7.org/linux/man-pages/man0/semaphore.h.0p.html
setjmp,https://man7.org/linux/man-pages/man0/setjmp.h.0p.html
signal,https://man7.org/linux/man-pages/man0/signal.h.0p.html
spawn,https://man7.org/linux/man-pages/man0/spawn.h.0p.html
stdarg,https://man7.org/linux/man-pages/man0/stdarg.h.0p.html
stdbool,https://man7.org/linux/man-pages/man0/stdbool.h.0p.html
stddef,https://man7.org/linux/man-pages/man0/stddef.h.0p.html
stdint,https://man7.org/linux/man-pages/man0/stdint.h.0p.html
stdio,https://man7.org/linux/man-pages/man0/stdio.h.0p.html
stdlib,https://man7.org/linux/man-pages/man0/stdlib.h.0p.html
string,https://man7.org/linux/man-pages/man0/string.h.0p.html
strings,https://man7.org/linux/man-pages/man0/strings.h.0p.html
stropts,https://man7.org/linux/man-pages/man0/stropts.h.0p.html
sys_ipc,https://man7.org/linux/man-pages/man0/sys_ipc.h.0p.html
syslog,https://man7.org/linux/man-pages/man0/syslog.h.0p.html
sys_mman,https://man7.org/linux/man-pages/man0/sys_mman.h.0p.html
sys_msg,https://man7.org/linux/man-pages/man0/sys_msg.h.0p.html
sys_resource,https://man7.org/linux/man-pages/man0/sys_resource.h.0p.html
sys_select,https://man7.org/linux/man-pages/man0/sys_select.h.0p.html
sys_sem,https://man7.org/linux/man-pages/man0/sys_sem.h.0p.html
